Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Australia,AUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,84.00002051,82.74884961,83.02757977,83.28896618,77.10860329,77.48905189,77.65639994,79.52808664,79.62161674,77.05357253,75.83483151,74.89993752,71.32764169,67.98827917,68.5549644,63.71539254,61.16432507,62.8716168
Australia,AUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,6.632174301,7.857995256,7.740727328,7.701157113,13.95473617,13.31725495,13.54830794,10.42404761,9.765089568,13.10771713,14.38045361,16.15187731,17.64687256,19.297223,19.34307151,20.45260615,21.90974124,20.79547797
Australia,AUS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.933755173,0.849101544,0.850074334,0.911421756,1.075741716,0.752994297,0.608641927,1.244159109,1.313985915,1.190637874,1.669457324,1.450250912,2.413606121,2.28784555,1.509310735,2.567892926,2.019221474,2.695064136
Australia,AUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.546100636,0.586857342,0.586093851,0.712995786,0.878273184,1.063077439,1.127455491,2.099436384,2.456096628,2.74673943,3.215906333,2.740885548,3.267748792,3.827385618,5.007008936,5.984672764,7.500886153,8.34165755
Australia,AUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.887949379,7.957196246,7.795524721,7.385459167,6.982645639,7.377621427,7.0591947,6.704270255,6.843211144,5.901333037,4.899351224,4.757048711,5.344130837,6.599266661,5.585644424,7.279435624,7.405826056,5.296183545
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,66.79569867,66.95787603,68.49942425,69.41705728,69.89346472,67.83142323,67.69168015,66.85963647,66.68824892,65.48205784,68.44469591,66.96802144,67.17829809,66.75997826,71.63605506,72.52273811,74.49218587,75.30939896
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,9.960277994,10.81206369,9.823622755,9.509819423,10.30053956,11.18590369,11.19561515,10.54515018,10.25660908,11.57179232,10.24370694,12.6579905,11.56699503,10.62719164,7.613470116,5.241437102,4.636533553,4.923196173
India,IND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,4.176269625,4.544405152,5.119117833,4.554967858,4.574759788,4.776311119,4.132949118,3.544440346,3.071012065,2.997706308,3.0121824,2.649073042,2.490565807,2.245155118,2.037845188,1.956334092,1.767435892,1.659503516
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.224118662,0.443593455,0.520284787,0.677184016,0.84815447,1.054334649,1.249577845,1.540544619,1.984145446,2.338376056,2.741658857,3.326494437,3.478093068,3.954730228,4.643608605,4.960653326,5.173682559,5.361011248
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,16.47698962,14.81448229,13.07066324,12.52985951,11.20700669,12.41509011,13.23292266,15.07847346,15.55627927,15.52570963,13.76817488,12.33356081,12.56565137,13.36223263,11.08936476,12.3886605,11.08015726,9.982039098
United Kingdom,GBR,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,34.64643471,29.66214921,32.66777963,34.79579881,32.67879198,35.3614994,34.05967113,34.47825889,38.24822713,34.98756906,32.68196346,27.99654757,28.74592447,30.06295807,40.05150157,37.04979,30.31169753,22.80649074
United Kingdom,GBR,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,32.62416258,39.12443532,39.55312187,37.11215374,39.59385847,37.6471689,40.1415362,38.60140709,35.79493175,42.18962722,45.79138841,44.62930649,46.325546,40.17389727,27.72195817,26.96154138,30.09159153,29.74021572
United Kingdom,GBR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.620202227,2.381930185,2.256026711,1.373545903,1.247806134,1.161673376,1.186879917,1.350189416,1.569275348,1.284827634,1.743367201,1.606932729,1.307077294,0.829364676,0.69474345,0.581197447,0.565475569,0.634149532
United Kingdom,GBR,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.977902343,1.171800137,1.30457429,1.43657419,1.64848737,1.868943823,2.37529327,3.038748084,3.434664362,3.718340539,4.341137645,5.365466627,5.870882852,7.928429511,9.955859762,13.66517288,17.50528642,22.97030527
United Kingdom,GBR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1.417418349,1.46091718,1.358530885,1.060758222,1.244685968,0.816003479,1.237738897,1.244733528,1.167424955,1.291952841,1.33591456,1.401341836,0.941930575,1.56062359,1.468100414,1.323307255,1.757567262,1.869745151
Malaysia,MYS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.723839172,6.990326982,11.10533535,12.48522874,15.16788105,18.87114657,23.35569491,24.18080873,23.06690415,27.69801879,26.76864245,28.71477462,34.32997291,40.98472249,41.51479748,38.57807847,37.8567699,42.28132931
Malaysia,MYS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,70.11085306,73.98096056,73.63800448,71.42113556,67.4244771,70.90315921,66.52569151,66.87431205,66.27073361,63.34857869,63.83881555,61.24151962,56.73312711,44.98781667,46.62042997,48.9786625,50.06882802,46.60311878
Malaysia,MYS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,16.16840441,7.493139975,5.198180637,6.16453773,10.26276448,3.782385401,3.032181226,2.664715203,3.489925415,2.297058944,1.763785646,3.034404283,2.941035052,7.309998066,4.475335055,3.859108914,2.366599082,1.158383459
Malaysia,MYS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0.001406786,0.001346819,0.001274389,0.001215303,0.001209585,0.001113214,0.001025473,0,1.006870512,0.80618018,0.817636821,0.644436341,0.925925926,0.629284799,0.682107339
Malaysia,MYS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.996903362,11.53557249,10.05847953,9.927691182,7.143530553,6.442034434,7.085217053,6.278954435,7.171323611,6.655318102,7.628756352,5.998982785,5.186479252,5.896731773,6.739047931,7.651718854,9.078518197,9.275061117
Japan,JPN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.24118199,19.91332871,21.48421273,23.38478021,24.61992605,26.3775463,26.45867982,27.22636172,26.58656402,27.34596561,27.23000261,27.17272777,27.15514217,27.09995318,29.72207921,32.92587052,32.74193411,33.15273563
Japan,JPN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,21.83445891,23.0256671,23.3107127,23.62565164,23.53413132,24.66493367,23.09670235,21.58779491,23.91375313,25.58212928,26.50574727,28.27375186,27.94693982,36.10848172,38.71858887,38.46814495,41.51493564,39.5872172
Japan,JPN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,14.14796093,14.22248191,13.22755796,12.00941461,13.21931039,14.1133971,12.60471268,12.56520257,10.68381248,11.61241379,10.75939193,7.612819166,6.868561765,10.62106697,12.7065052,10.20333816,8.53586006,7.51942013
Japan,JPN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.313546901,1.323759789,1.28233642,1.288909462,1.331438039,1.463024293,1.516475636,1.636052118,1.706235851,1.785164666,1.846646766,1.948203289,3.320603054,3.719216339,4.050227515,4.834342395,6.300469635,7.75568791
Japan,JPN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.616397901,7.900983479,7.83371259,7.676528614,7.377267644,8.559085274,8.279351534,6.771061614,7.742862375,6.416622233,6.942679845,7.197513219,7.21117411,7.743628263,7.144019867,7.370949399,7.758889723,8.229092813
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,,,,
